#Scalefactor 1.0
#Query  SPACEOBA  SPACETBA  NETOBA  NETTBA
Query       1     2      3        4      5         6        7      8         9        10      11     12       13      14      15       16       17       Gesamt
SPACEOBA  0.185  0.005  0.948  199.990  3.326  1295.508  108.222  0.840   795.955  3564.303  0.737  39.648  118.512  11.494  29.831    9.802   84.209   6263.515
SPACETBA  0.196  0.004  0.540  159.760  6.347  2099.649   44,631  0.502  1887.512  2099.858  0.650   0.216   78.304   4.990  17.227   60.795  162.730   6623.912
NETOBA    0.302  0.006  0.995    1.207  5.851   300.661  110.542  0.240   108.343  2358.162  7.804   0.713   27.203   9.423  10.140    0.517    0.554   2942.663
NETTBA    0.205  0.004  1.418   33.035  5.675   235.302  123.349  0.280   138.995  1661.170  8.272   0.289   34.018  39.700   6.304    1.919    5.829   2295.765
