1330;20000;1996;" 65,40"
1440;20000;1996;" 72,31"
1550;20000;1996;" 79,00"
1660;20000;1996;" 86,05"
1770;20000;1996;" 92,91"
2000;20000;1996;"100,00"
;;;
60;40000;2542;"  3,50"
170;40000;2542;"  9,70"
280;40000;2542;" 12,10"
390;40000;2542;" 14,79"
500;40000;2542;" 17,87"
610;40000;2542;" 21,19"
720;40000;2542;" 24,94"
830;40000;2542;" 28,94"
940;40000;2542;" 33,37"
1050;40000;2542;" 37,86"
1160;40000;2542;" 42,80"
1270;40000;2542;" 47,70"
1380;40000;2542;" 53,00"
1490;40000;2542;" 58,24"
1600;40000;2542;" 63,83"
1710;40000;2542;" 69,53"
1820;40000;2542;" 75,44"
1930;40000;2542;" 81,35"
2040;40000;2542;" 87,00"
2150;40000;2542;" 93,03"
2260;40000;2542;" 99,38"
2560;40000;2542;"100,00"
;;;
10;60000;3087;"  0,01"
120;60000;3087;"  8,78"
240;60000;3087;" 14,55"
350;60000;3087;" 16,68"
460;60000;3087;" 19,08"
570;60000;3087;" 21,80"
680;60000;3087;" 24,56"
790;60000;3087;" 27,69"
900;60000;3087;" 30,86"
1010;60000;3087;" 34,37"
1120;60000;3087;" 37,91"
1230;60000;3087;" 41,84"
1340;60000;3087;" 45,76"
1450;60000;3087;" 50,08"
1560;60000;3087;" 54,36"
1670;60000;3087;" 58,99"
1780;60000;3087;" 63,62"
1890;60000;3087;" 68,49"
2000;60000;3087;" 73,36"
2110;60000;3087;" 78,60"
2220;60000;3087;" 83,78"
2330;60000;3087;" 89,24"
2440;60000;3087;" 94,49"
3030;60000;3087;"100,00"
;;;
0;200;1456;"  0,02"
110;200;1456;"  7,72"
220;200;1456;" 15,48"
330;200;1456;" 23,62"
440;200;1456;" 31,23"
550;200;1456;" 39,30"
660;200;1456;" 47,12"
770;200;1456;" 55,27"
880;200;1456;" 63,09"
990;200;1456;" 71,09"
1100;200;1456;" 78,82"
1210;200;1456;" 86,96"
1320;200;1456;" 94,84"
;;;
30;20000;1996;"  1,40"
140;20000;1996;"  6,11"
250;20000;1996;"  9,28"
360;20000;1996;" 13,37"
470;20000;1996;" 17,88"
580;20000;1996;" 22,56"
690;20000;1996;" 27,79"
800;20000;1996;" 33,75"
910;20000;1996;" 39,67"
1020;20000;1996;" 46,02"
1130;20000;1996;" 52,32"
1240;20000;1996;" 59,05"
1350;20000;1996;" 65,67"
1460;20000;1996;" 72,60"
1570;20000;1996;" 79,36"
1680;20000;1996;" 86,51"
1790;20000;1996;" 93,41"
2010;20000;1996;"100,00"
;;;
50;40000;2542;"  3,52"
160;40000;2542;"  9,70"
270;40000;2542;" 12,00"
380;40000;2542;" 14,81"
490;40000;2542;" 17,79"
600;40000;2542;" 21,23"
710;40000;2542;" 24,89"
820;40000;2542;" 29,03"
930;40000;2542;" 33,28"
1040;40000;2542;" 37,98"
1150;40000;2542;" 42,73"
1260;40000;2542;" 47,62"
1370;40000;2542;" 52,90"
1480;40000;2542;" 58,19"
1590;40000;2542;" 63,88"
1700;40000;2542;" 69,50"
1810;40000;2542;" 75,39"
1920;40000;2542;" 81,21"
2030;40000;2542;" 87,29"
2140;40000;2542;" 93,27"
2250;40000;2542;" 99,65"
2550;40000;2542;"100,00"
;;;
0;60000;3087;"  0,01"
110;60000;3087;"  8,83"
230;60000;3087;" 14,55"
340;60000;3087;" 16,71"
450;60000;3087;" 19,18"
560;60000;3087;" 21,82"
670;60000;3087;" 24,78"
780;60000;3087;" 27,80"
890;60000;3087;" 31,20"
1000;60000;3087;" 34,57"
1110;60000;3087;" 38,25"
1220;60000;3087;" 41,98"
1330;60000;3087;" 46,10"
1440;60000;3087;" 50,22"
1550;60000;3087;" 54,70"
1660;60000;3087;" 59,21"
